,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
548,his,1343,811,63,25,2,1374.5,823.5,0.017337031900138695,0.03315789473684211,0
549,left,1433,812,83,24,2,1474.5,824.0,0.016643550624133148,0.04368421052631579,0
550,"hand,",1541,812,101,28,2,1591.5,826.0,0.019417475728155338,0.053157894736842105,0
551,replaces,1674,812,172,30,2,1760.0,827.0,0.020804438280166437,0.09052631578947369,0
552,"them,",3,902,99,28,2,52.5,916.0,0.019417475728155338,0.05210526315789474,0
553,and,134,902,64,24,2,166.0,914.0,0.016643550624133148,0.03368421052631579,0
554,continues,222,901,194,25,2,319.0,913.5,0.017337031900138695,0.10210526315789474,0
555,to,443,905,39,21,2,462.5,915.5,0.014563106796116505,0.020526315789473684,0
556,repeat,508,905,128,27,2,572.0,918.5,0.01872399445214979,0.06736842105263158,0
557,the,663,902,61,24,2,693.5,914.0,0.016643550624133148,0.032105263157894734,0
558,sequence.,751,908,187,24,2,844.5,920.0,0.016643550624133148,0.09842105263157895,0
559,Some,68,994,84,22,2,110.0,1005.0,0.015256588072122053,0.04421052631578947,0
560,ancient,178,991,150,25,2,253.0,1003.5,0.017337031900138695,0.07894736842105263,0
561,Greek,353,992,108,24,2,407.0,1004.0,0.016643550624133148,0.056842105263157895,0
562,athletes,486,992,172,24,2,572.0,1004.0,0.016643550624133148,0.09052631578947369,0
563,practiced,682,991,198,31,2,781.0,1006.5,0.021497919556171984,0.10421052631578948,0
564,running,904,991,152,31,2,980.0,1006.5,0.021497919556171984,0.08,0
565,while,1078,991,108,25,2,1132.0,1003.5,0.017337031900138695,0.056842105263157895,0
566,carrying,1212,991,174,31,2,1299.0,1006.5,0.021497919556171984,0.09157894736842105,0
567,halteres.,1409,992,189,24,2,1503.5,1004.0,0.016643550624133148,0.09947368421052631,0
568,This,1630,991,84,25,2,1672.0,1003.5,0.017337031900138695,0.04421052631578947,0
569,was,1738,998,64,18,2,1770.0,1007.0,0.012482662968099861,0.03368421052631579,0
