,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
639,determine,1365,1351,195,25,2,1462.5,1363.5,0.017337031900138695,0.10263157894736842,0
640,whether,1584,1352,151,24,2,1659.5,1364.0,0.016643550624133148,0.07947368421052632,0
641,any,1762,1359,63,22,2,1793.5,1370.0,0.015256588072122053,0.03315789473684211,0
642,objects,2,0,150,31,3,77.0,15.5,0.021497919556171984,0.07894736842105263,0
643,had,177,1,65,24,3,209.5,13.0,0.016643550624133148,0.034210526315789476,0
644,shifted,267,0,151,25,3,342.5,12.5,0.017337031900138695,0.07947368421052632,0
645,position.,440,0,190,31,3,535.0,15.5,0.021497919556171984,0.1,0
646,Using,660,0,110,31,3,715.0,15.5,0.021497919556171984,0.05789473684210526,0
647,a,794,8,19,17,3,803.5,16.5,0.011789181692094313,0.01,0
648,blink,836,0,109,25,3,890.5,12.5,0.017337031900138695,0.057368421052631575,0
649,"comparator,",970,4,232,27,3,1086.0,17.5,0.01872399445214979,0.12210526315789473,0
650,he,1233,1,41,24,3,1253.5,13.0,0.016643550624133148,0.02157894736842105,0
651,rapidly,1300,0,151,31,3,1375.5,15.5,0.021497919556171984,0.07947368421052632,0
652,shifted,1477,0,151,25,3,1552.5,12.5,0.017337031900138695,0.07947368421052632,0
653,back,1650,1,87,24,3,1693.5,13.0,0.016643550624133148,0.045789473684210526,0
654,and,1762,1,64,24,3,1794.0,13.0,0.016643550624133148,0.03368421052631579,0
655,forth,3,91,107,24,3,56.5,103.0,0.016643550624133148,0.05631578947368421,0
656,between,132,91,154,24,3,209.0,103.0,0.016643550624133148,0.08105263157894736,0
657,views,308,90,108,25,3,362.0,102.5,0.017337031900138695,0.056842105263157895,0
658,of,442,92,39,23,3,461.5,103.5,0.0159500693481276,0.020526315789473684,0
659,each,508,91,86,24,3,551.0,103.0,0.016643550624133148,0.045263157894736845,0
660,of,618,92,39,23,3,637.5,103.5,0.0159500693481276,0.020526315789473684,0
661,the,685,91,61,24,3,715.5,103.0,0.016643550624133148,0.032105263157894734,0
662,plates,770,91,130,30,3,835.0,106.0,0.020804438280166437,0.06842105263157895,0
663,to,927,94,39,21,3,946.5,104.5,0.014563106796116505,0.020526315789473684,0
664,create,992,94,128,21,3,1056.0,104.5,0.014563106796116505,0.06736842105263158,0
665,the,1147,91,61,24,3,1177.5,103.0,0.016643550624133148,0.032105263157894734,0
666,illusion,1236,90,172,25,3,1322.0,102.5,0.017337031900138695,0.09052631578947369,0
667,of,1432,92,39,23,3,1451.5,103.5,0.0159500693481276,0.020526315789473684,0
668,movement,1496,94,174,21,3,1583.0,104.5,0.014563106796116505,0.09157894736842105,0
669,of,1696,92,39,23,3,1715.5,103.5,0.0159500693481276,0.020526315789473684,0
670,any,1762,98,63,22,3,1793.5,109.0,0.015256588072122053,0.03315789473684211,0
671,objects,2,180,150,31,3,77.0,195.5,0.021497919556171984,0.07894736842105263,0
672,that,179,181,83,24,3,220.5,193.0,0.016643550624133148,0.04368421052631579,0
673,had,287,181,65,24,3,319.5,193.0,0.016643550624133148,0.034210526315789476,0
674,changed,376,181,152,30,3,452.0,196.0,0.020804438280166437,0.08,0
675,position,550,180,176,31,3,638.0,195.5,0.021497919556171984,0.09263157894736843,0
676,or,750,188,39,17,3,769.5,196.5,0.011789181692094313,0.020526315789473684,0
677,appearance,816,188,216,23,3,924.0,199.5,0.0159500693481276,0.11368421052631579,0
678,between,1056,181,154,24,3,1133.0,193.0,0.016643550624133148,0.08105263157894736,0
679,photographs.,1232,181,256,30,3,1360.0,196.0,0.020804438280166437,0.13473684210526315,0
680,On,1519,184,43,21,3,1540.5,194.5,0.014563106796116505,0.022631578947368423,0
681,18,1587,184,38,21,3,1606.0,194.5,0.014563106796116505,0.02,0
682,February,1652,181,173,29,3,1738.5,195.5,0.02011095700416089,0.09105263157894737,0
683,"1930,",3,274,99,25,3,52.5,286.5,0.017337031900138695,0.05210526315789474,0
684,after,134,272,105,23,3,186.5,283.5,0.0159500693481276,0.05526315789473684,0
685,nearly,265,271,130,29,3,330.0,285.5,0.02011095700416089,0.06842105263157895,0
686,a,420,278,19,17,3,429.5,286.5,0.011789181692094313,0.01,0
687,year,462,278,85,22,3,504.5,289.0,0.015256588072122053,0.04473684210526316,0
